data,exam_period,screen_time
2022-08-14,True,103.0
2022-08-15,True,103.0
2022-08-16,True,101.0
2022-08-17,True,100.0
2022-08-18,True,112.0
2022-08-19,True,113.0
2022-08-20,True,102.0
2022-08-21,True,112.0
2022-08-22,True,144.0
2022-08-23,True,113.0
2022-08-24,True,112.0
2022-08-25,True,111.0
2022-08-26,True,113.0
2022-08-27,True,103.0
2022-08-28,True,100.0
2022-08-29,True,110.0
2022-08-30,True,103.0
2022-08-31,True,111.0
2022-09-01,True,107.0
2022-09-02,True,107.0
2022-09-03,True,101.0
2022-09-04,True,102.0
2022-09-05,True,112.0
2022-09-06,True,105.0
2022-09-07,True,133.0
2022-09-08,True,107.0
2022-09-09,True,103.0
2022-09-10,True,138.0
2022-09-11,True,110.0
2022-09-12,True,116.0
2022-09-13,True,102.0
2022-09-14,True,111.0
2022-09-15,True,107.0
2022-09-16,False,189.0
2022-09-17,False,170.0
2022-09-18,False,193.0
2022-09-19,False,165.0
2022-09-20,False,194.0
2022-09-21,False,171.0
2022-09-22,False,208.0
2022-09-23,False,174.0
2022-09-24,False,169.0
2022-09-25,False,181.0
2022-09-26,False,186.0
2022-09-27,False,195.0
2022-09-28,False,169.0
2022-09-29,False,195.0
2022-09-30,False,160.0
2022-10-01,False,141.0
2022-10-02,False,180.0
2022-10-03,False,147.0
2022-10-04,False,177.0
2022-10-05,False,165.0
2022-10-06,False,177.0
2022-10-07,False,191.0
2022-10-08,False,174.0
2022-10-09,False,154.0
2022-10-10,False,170.0
2022-10-11,False,172.0
2022-10-12,False,213.0
2022-10-13,False,156.0
2022-10-14,False,126.0
2022-10-15,False,173.0
2022-10-16,False,195.0
2022-10-17,False,168.0
2022-10-18,False,177.0
2022-10-19,False,174.0
2022-10-20,False,194.0
2022-10-21,False,222.0
2022-10-22,False,188.0
2022-10-23,False,181.0
2022-10-24,False,184.0
2022-10-25,False,178.0
2022-10-26,False,170.0
2022-10-27,False,189.0
2022-10-28,False,190.0
2022-10-29,False,190.0
2022-10-30,False,200.0
2022-10-31,False,137.0
2022-11-01,False,195.0
2022-11-02,False,167.0
2022-11-03,False,190.0
2022-11-04,False,172.0
2022-11-05,False,190.0
2022-11-06,False,171.0
2022-11-07,False,182.0
2022-11-08,False,195.0
2022-11-09,False,193.0
2022-11-10,False,179.0
2022-11-11,False,174.0
2022-11-12,False,176.0
2022-11-13,False,96.0
2022-11-14,False,148.0
2022-11-15,False,173.0
2022-11-16,False,180.0
2022-11-17,False,185.0
2022-11-18,False,167.0
2022-11-19,False,191.0
2022-11-20,False,165.0
2022-11-21,False,160.0
2022-11-22,False,167.0
2022-11-23,False,175.0
2022-11-24,False,188.0
2022-11-25,False,170.0
2022-11-26,False,217.0
2022-11-27,False,181.0
2022-11-28,False,166.0
2022-11-29,False,194.0
